EaseLinearNone:							EaseLinearNone:
--------							--------
    0:  1234.500000						    0:  1234.500000
   52: 84742.429688						   52: 84742.429688
   53: 86348.351562						   53: 86348.351562
   54: 87954.273438						   54: 87954.273438
   55: 89560.195312						   55: 89560.195312
   56: 91166.109375						   56: 91166.109375
   57: 92772.039062						   57: 92772.039062
   58: 94377.953125						   58: 94377.953125
   59: 95983.882812						   59: 95983.882812
   60: 97589.804688						   60: 97589.804688
   61: 99195.726562						   61: 99195.726562
   62: 100801.648438						   62: 100801.648438
   63: 102407.562500						   63: 102407.562500
   64: 104013.492188						   64: 104013.492188
   65: 105619.406250						   65: 105619.406250
   66: 107225.335938						   66: 107225.335938
   67: 108831.250000						   67: 108831.250000
   68: 110437.179688						   68: 110437.179688
   69: 112043.093750						   69: 112043.093750
   70: 113649.023438						   70: 113649.023438
   71: 115254.937500						   71: 115254.937500
   72: 116860.859375						   72: 116860.859375
   73: 118466.781250						   73: 118466.781250
   74: 120072.703125						   74: 120072.703125
   75: 121678.625000						   75: 121678.625000
   76: 123284.546875						   76: 123284.546875

EaseSineIn:							EaseSineIn:
--------							--------
    0:  1234.500000						    0:  1234.500000
    1:  1260.270874					      |	    1:  1260.273438
    2:  1337.572632					      |	    2:  1337.570312
    3:  1466.372925					      |	    3:  1466.367188
    4:  1646.618286					      |	    4:  1646.617188
    5:  1878.233032					      |	    5:  1878.226562
    6:  2161.120850					      |	    6:  2161.125000
    7:  2495.163330					      |	    7:  2495.164062
    8:  2880.221436					      |	    8:  2880.218750
    9:  3316.133789					      |	    9:  3316.140625
   10:  3802.718994					      |	   10:  3802.718750
   11:  4339.772949					      |	   11:  4339.773438
   12:  4927.073242					      |	   12:  4927.070312
   13:  5564.374023					      |	   13:  5564.375000
   14:  6251.406738					      |	   14:  6251.406250
   15:  6987.888672					      |	   15:  6987.882812
   16:  7773.509277					      |	   16:  7773.507812
   17:  8607.941406					      |	   17:  8607.937500
   18:  9490.836914					      |	   18:  9490.835938
   19: 10421.827148					      |	   19: 10421.828125
   20: 11400.525391					      |	   20: 11400.531250
   21: 12426.517578					      |	   21: 12426.515625
   22: 13499.379883					      |	   22: 13499.382812
   23: 14618.666016					      |	   23: 14618.664062
   24: 15783.903320					      |	   24: 15783.906250
   25: 16994.613281					      |	   25: 16994.617188
   26: 18250.281250					      |	   26: 18250.289062
   27: 19550.384766					      |	   27: 19550.390625
   28: 20894.384766					      |	   28: 20894.382812
   29: 22281.720703					      |	   29: 22281.726562
   30: 23711.810547					      |	   30: 23711.812500
   31: 25184.054688						   31: 25184.054688
   32: 26697.847656					      |	   32: 26697.843750
   33: 28252.550781					      |	   33: 28252.546875
   34: 29847.509766					      |	   34: 29847.507812
   35: 31482.070312					      |	   35: 31482.078125
   36: 33155.539062					      |	   36: 33155.546875
   37: 34867.230469					      |	   37: 34867.226562
   38: 36616.414062					      |	   38: 36616.421875
   39: 38402.375000					      |	   39: 38402.382812
   40: 40224.359375						   40: 40224.359375
   41: 42081.605469					      |	   41: 42081.601562
   42: 43973.335938						   42: 43973.335938
   43: 45898.777344					      |	   43: 45898.781250
   44: 47857.097656					      |	   44: 47857.093750
   45: 49847.511719					      |	   45: 49847.515625
   46: 51869.160156					      |	   46: 51869.164062
   47: 53921.218750						   47: 53921.218750
   48: 56002.816406					      |	   48: 56002.812500
   49: 58113.093750						   49: 58113.093750
   50: 60251.175781					      |	   50: 60251.171875
   51: 62416.148438						   51: 62416.148438
   52: 64607.132812						   52: 64607.132812
   53: 66823.187500						   53: 66823.187500
   54: 69063.398438						   54: 69063.398438
   55: 71326.835938					      |	   55: 71326.843750
   56: 73612.554688						   56: 73612.554688
   57: 75919.609375						   57: 75919.609375
   58: 78247.015625						   58: 78247.015625
   59: 80593.820312						   59: 80593.820312
   60: 82959.023438					      |	   60: 82959.031250
   61: 85341.648438					      |	   61: 85341.656250
   62: 87740.703125						   62: 87740.703125
   63: 90155.187500						   63: 90155.187500
   64: 92584.101562					      |	   64: 92584.093750
   65: 95026.398438						   65: 95026.398438
   66: 97481.101562						   66: 97481.101562
   67: 99947.148438						   67: 99947.148438
   68: 102423.531250						   68: 102423.531250
   69: 104909.203125						   69: 104909.203125
   70: 107403.148438					      |	   70: 107403.156250
   71: 109904.304688						   71: 109904.304688
   72: 112411.625000						   72: 112411.625000
   73: 114924.093750						   73: 114924.093750
   74: 117440.617188						   74: 117440.617188
   75: 119960.171875						   75: 119960.171875
   76: 122481.703125						   76: 122481.703125

EaseSineOut:							EaseSineOut:
--------							--------
    0:  1234.500000						    0:  1234.500000
    1:  3756.900635					      |	    1:  3756.900879
    2:  6278.248535						    2:  6278.248535
    3:  8797.490234						    3:  8797.490234
    4: 11313.575195						    4: 11313.575195
    5: 13825.450195						    5: 13825.450195
    6: 16332.071289						    6: 16332.071289
    7: 18832.386719					      |	    7: 18832.384766
    8: 21325.357422						    8: 21325.357422
    9: 23809.937500						    9: 23809.937500
   10: 26285.095703						   10: 26285.095703
   11: 28749.792969						   11: 28749.792969
   12: 31203.003906					      |	   12: 31203.005859
   13: 33643.710938						   13: 33643.710938
   14: 36070.875000						   14: 36070.875000
   15: 38483.503906						   15: 38483.503906
   16: 40880.578125						   16: 40880.578125
   17: 43261.097656						   17: 43261.097656
   18: 45624.078125						   18: 45624.078125
   19: 47968.519531						   19: 47968.519531
   20: 50293.457031						   20: 50293.457031
   21: 52597.906250					      |	   21: 52597.910156
   22: 54880.914062					      |	   22: 54880.917969
   23: 57141.531250						   23: 57141.531250
   24: 59378.804688					      |	   24: 59378.800781
   25: 61591.804688					      |	   25: 61591.808594
   26: 63779.609375					      |	   26: 63779.605469
   27: 65941.289062						   27: 65941.289062
   28: 68075.960938						   28: 68075.960938
   29: 70182.734375						   29: 70182.734375
   30: 72260.718750					      |	   30: 72260.710938
   31: 74309.046875						   31: 74309.046875
   32: 76326.867188						   32: 76326.867188
   33: 78313.343750						   33: 78313.343750
   34: 80267.632812						   34: 80267.632812
   35: 82188.929688					      |	   35: 82188.937500
   36: 84076.429688						   36: 84076.429688
   37: 85929.343750						   37: 85929.343750
   38: 87746.898438						   38: 87746.898438
   39: 89528.335938					      |	   39: 89528.343750
   40: 91272.914062						   40: 91272.914062
   41: 92979.898438						   41: 92979.898438
   42: 94648.578125						   42: 94648.578125
   43: 96278.273438						   43: 96278.273438
   44: 97868.265625						   44: 97868.265625
   45: 99417.937500						   45: 99417.937500
   46: 100926.601562						   46: 100926.601562
   47: 102393.656250						   47: 102393.656250
   48: 103818.476562					      |	   48: 103818.468750
   49: 105200.468750						   49: 105200.468750
   50: 106539.054688						   50: 106539.054688
   51: 107833.679688						   51: 107833.679688
   52: 109083.804688					      |	   52: 109083.796875
   53: 110288.890625						   53: 110288.890625
   54: 111448.453125						   54: 111448.453125
   55: 112562.007812					      |	   55: 112562.000000
   56: 113629.078125						   56: 113629.078125
   57: 114649.226562					      |	   57: 114649.234375
   58: 115622.031250						   58: 115622.031250
   59: 116547.078125						   59: 116547.078125
   60: 117423.984375						   60: 117423.984375
   61: 118252.375000						   61: 118252.375000
   62: 119031.921875					      |	   62: 119031.914062
   63: 119762.281250						   63: 119762.281250
   64: 120443.164062						   64: 120443.164062
   65: 121074.273438						   65: 121074.273438
   66: 121655.359375						   66: 121655.359375
   67: 122186.164062						   67: 122186.164062
   68: 122666.476562						   68: 122666.476562
   69: 123096.085938						   69: 123096.085938
   70: 123474.828125					      |	   70: 123474.820312
   71: 123802.531250						   71: 123802.531250
   72: 124079.062500						   72: 124079.062500
   73: 124304.312500						   73: 124304.312500
   74: 124478.179688					      |	   74: 124478.187500
   75: 124600.593750						   75: 124600.593750
   76: 124671.507812						   76: 124671.507812

EaseSineInOut:							EaseSineInOut:
--------							--------
    0:  1234.500000						    0:  1234.500000
    1:  1286.036255					      |	    1:  1286.035889
    2:  1440.559082						    2:  1440.559082
    3:  1697.810547					      |	    3:  1697.812012
    4:  2057.360840					      |	    4:  2057.360352
    5:  2518.609619					      |	    5:  2518.608398
    6:  3080.786865						    6:  3080.786865
    7:  3742.953369					      |	    7:  3742.953857
    8:  4504.003906					      |	    8:  4504.005859
    9:  5362.668457					      |	    9:  5362.669434
   10:  6317.512695					      |	   10:  6317.513672
   11:  7366.939941					      |	   11:  7366.941895
   12:  8509.202148						   12:  8509.202148
   13:  9742.390625					      |	   13:  9742.392578
   14: 11064.442383						   14: 11064.442383
   15: 12473.155273					      |	   15: 12473.157227
   16: 13966.170898					      |	   16: 13966.172852
   17: 15541.004883						   17: 15541.004883
   18: 17195.019531					      |	   18: 17195.023438
   19: 18925.460938					      |	   19: 18925.458984
   20: 20729.429688						   20: 20729.429688
   21: 22603.921875						   21: 22603.921875
   22: 24545.798828					      |	   22: 24545.796875
   23: 26551.830078					      |	   23: 26551.832031
   24: 28618.658203					      |	   24: 28618.656250
   25: 30742.837891					      |	   25: 30742.835938
   26: 32920.816406						   26: 32920.816406
   27: 35148.949219					      |	   27: 35148.953125
   28: 37423.527344						   28: 37423.527344
   29: 39740.757812						   29: 39740.757812
   30: 42096.761719						   30: 42096.761719
   31: 44487.601562						   31: 44487.601562
   32: 46909.292969						   32: 46909.292969
   33: 49357.792969						   33: 49357.792969
   34: 51829.015625						   34: 51829.015625
   35: 54318.824219					      |	   35: 54318.828125
   36: 56823.062500						   36: 56823.062500
   37: 59337.558594						   37: 59337.558594
   38: 61858.109375						   38: 61858.109375
   39: 64380.500000					      |	   39: 64380.496094
   40: 66900.523438					      |	   40: 66900.531250
   41: 69413.976562					      |	   41: 69413.984375
   42: 71916.656250						   42: 71916.656250
   43: 74404.375000						   43: 74404.375000
   44: 76872.992188						   44: 76872.992188
   45: 79318.390625						   45: 79318.390625
   46: 81736.484375						   46: 81736.484375
   47: 84123.226562					      |	   47: 84123.218750
   48: 86474.625000						   48: 86474.625000
   49: 88786.773438						   49: 88786.773438
   50: 91055.812500						   50: 91055.812500
   51: 93277.921875						   51: 93277.921875
   52: 95449.429688						   52: 95449.429688
   53: 97566.664062						   53: 97566.664062
   54: 99626.148438						   54: 99626.148438
   55: 101624.390625						   55: 101624.390625
   56: 103558.085938						   56: 103558.085938
   57: 105424.007812						   57: 105424.007812
   58: 107219.015625						   58: 107219.015625
   59: 108940.125000					      |	   59: 108940.132812
   60: 110584.468750					      |	   60: 110584.476562
   61: 112149.296875						   61: 112149.296875
   62: 113631.984375						   62: 113631.984375
   63: 115030.078125						   63: 115030.078125
   64: 116341.218750						   64: 116341.218750
   65: 117563.242188						   65: 117563.242188
   66: 118694.085938						   66: 118694.085938
   67: 119731.875000					      |	   67: 119731.882812
   68: 120674.875000					      |	   68: 120674.867188
   69: 121521.507812						   69: 121521.507812
   70: 122270.359375						   70: 122270.359375
   71: 122920.179688					      |	   71: 122920.187500
   72: 123469.882812						   72: 123469.882812
   73: 123918.554688						   73: 123918.554688
